model_name_list,detail_link,detail_url,rent_yn,list_price_wan,model_name,price_wan,rent_yn_detail,support_money_wan,monthly_rent_wan,remain_months,year_month,mileage_km,fuel_type,transmission,color,displacement_cc,reg_date
기아 디 올 뉴 니로 1.6 HEV 프레스티지,/mycar/mycar_view.php?no=2255848&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255848&gubun=K,True,62.0,기아 디 올 뉴 니로 1.6 HEV 프레스티지,62.0,True,,62.0,30 / 60,2023.05 (24년형),29000.0,가솔린 하이브리드,자동,흰색,1580.0,
기아 더 뉴 니로 1.6 HEV  프레스티지,/mycar/mycar_view.php?no=2250235&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2250235&gubun=K,True,0.0,기아 더 뉴 니로 1.6 HEV  프레스티지,0.0,True,,55.0,24 / 30,2022.06,46000.0,가솔린 하이브리드,자동,회색,1580.0,
기아 더 뉴 니로 1.6 HEV 프레스티지,/mycar/mycar_view.php?no=2252236&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2252236&gubun=K,True,63.0,기아 더 뉴 니로 1.6 HEV 프레스티지,63.0,True,,63.0,19 / 48,2023.07 (24년형),20000.0,가솔린 하이브리드,자동,흰색,1580.0,
기아 더 뉴 니로 1.6 HEV 프레스티지,/mycar/mycar_view.php?no=2256861&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256861&gubun=K,False,1850.0,기아 더 뉴 니로  1.6 HEV 프레스티지,1850.0,False,,,,2019.11 (20년형),56000.0,가솔린 하이브리드,자동,진회색,1580.0,
기아 니로 1.6 HEV 프레스티지,/mycar/mycar_view.php?no=2254934&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2254934&gubun=K,False,,기아 니로  1.6 HEV 프레스티지,,False,,,,2017.05 (18년형),46967.0,가솔린 하이브리드,자동,검정색,1580.0,
기아 니로 EV  노블레스,/mycar/mycar_view.php?no=2256092&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256092&gubun=K,False,2300.0,기아 니로 EV  노블레스,2300.0,False,,,,2021.06 (22년형),18000.0,전기,자동,진회색,180.0,
기아 더 뉴 기아 레이 1.0  프레스티지,/mycar/mycar_view.php?no=2257064&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2257064&gubun=K,True,0.0,기아 더 뉴 기아 레이 1.0  프레스티지,0.0,True,,42.0,60 / 60,2025.12 (26년형),30.0,가솔린,자동,진청색,998.0,
기아 더 뉴 기아 레이 1.0  프레스티지,/mycar/mycar_view.php?no=2257297&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2257297&gubun=K,True,0.0,기아 더 뉴 기아 레이 1.0  프레스티지,0.0,True,,44.0,60 / 60,2026.01,30.0,가솔린,자동,흰색투톤,998.0,
기아 더 뉴 기아 레이 1.0 밴 프레스티지 스페셜,/mycar/mycar_view.php?no=2256935&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256935&gubun=K,False,1190.0,기아 더 뉴 기아 레이 1.0 밴 프레스티지 스페셜,1190.0,False,,,,2023.10,31000.0,가솔린,자동,회색,998.0,
기아 더 뉴 기아 레이 1.0 트렌디,/mycar/mycar_view.php?no=2256477&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2256477&gubun=K,False,1710.0,기아 더 뉴 기아 레이  1.0 스탠다드,1710.0,False,,,,2026.01,22.0,가솔린,자동,진회색,998.0,
기아 더 뉴 기아 레이 1.0 프레스티지,/mycar/mycar_view.php?no=2255803&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2255803&gubun=K,False,,기아 더 뉴 기아 레이  1.0 프레스티지,,False,,,,2024.03,12152.0,가솔린,자동,흰색,998.0,
기아 더 뉴 기아 레이 1.0 프레스티지,/mycar/mycar_view.php?no=2252760&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2252760&gubun=K,False,1890.0,기아 더 뉴 기아 레이  1.0 프레스티지,1890.0,False,,,,2024.05,10600.0,가솔린,자동,흰색,998.0,
기아 더 뉴 기아 레이 EV  에어,/mycar/mycar_view.php?no=2257016&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2257016&gubun=K,True,10.0,기아 더 뉴 기아 레이 EV  에어,10.0,True,10.0,35.0,33 / 36,2025.10 (26년형),6020.0,전기,자동,진청색,134.0,
기아 더 뉴 레이 1.0 밴 고급형,/mycar/mycar_view.php?no=2250963&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2250963&gubun=K,False,730.0,기아 더 뉴 레이  1.0 밴 고급형,730.0,False,,,,2019.06,75387.0,가솔린,자동,은색,998.0,
기아 더 뉴 레이 1.0 럭셔리,/mycar/mycar_view.php?no=2230899&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2230899&gubun=K,False,570.0,기아 더 뉴 레이 1.0 럭셔리,570.0,False,,,,2018.11,127000.0,가솔린,자동,흰색,998.0,
기아 더 뉴 레이 1.0 밴 스탠다드,/mycar/mycar_view.php?no=2254053&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2254053&gubun=K,False,800.0,기아 더 뉴 레이 1.0 밴 스탠다드,800.0,False,,,,2021.03,84175.0,가솔린,자동,흰색,998.0,
기아 더 뉴 레이 1.0  시그니처,/mycar/mycar_view.php?no=2257213&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2257213&gubun=K,True,150.0,기아 더 뉴 레이 1.0  시그니처,150.0,True,,48.0,61 / 60,2025.12 (26년형),20.0,가솔린,자동,흰색,998.0,
기아 더 뉴 레이 1.0  시그니처,/mycar/mycar_view.php?no=2257341&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2257341&gubun=K,True,36.0,기아 더 뉴 레이 1.0  시그니처,36.0,True,,36.0,46 / 60,2024.12 (25년형),10000.0,가솔린,자동,검정색,998.0,
기아 더 뉴 레이 1.0  시그니처,/mycar/mycar_view.php?no=2257347&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2257347&gubun=K,True,34.0,기아 더 뉴 레이 1.0  시그니처,34.0,True,,34.0,55 / 60,2025.09 (26년형),5000.0,가솔린,자동,검정색,998.0,
기아 더 뉴 레이 1.0 캠핑카,/mycar/mycar_view.php?no=2251830&gubun=K,https://bobaedream.co.kr/mycar/mycar_view.php?no=2251830&gubun=K,False,1680.0,기아 더 뉴 레이  1.0 캠핑카,1680.0,False,,,,2019.04,83826.0,가솔린,자동,은색,998.0,
