용도코드,용도명,차종코드,차종명,규모코드,규모명,연도코드,연도,연식구간코드,연식구간명,지표코드,지표명,값
0001,전체,0002,승용차,0002,경형,Y2024 2024,,0030,5~6년,M0010,검사대수,58524.0
0001,전체,0002,승용차,0002,경형,Y2024 2024,,0030,5~6년,M0011,부적합률,12.64
0001,전체,0002,승용차,0002,경형,Y2024 2024,,0040,7~8년,M0010,검사대수,136033.0
0001,전체,0002,승용차,0002,경형,Y2024 2024,,0040,7~8년,M0011,부적합률,13.83
0001,전체,0002,승용차,0002,경형,Y2024 2024,,0050,9~10년,M0010,검사대수,156873.0
0001,전체,0002,승용차,0002,경형,Y2024 2024,,0050,9~10년,M0011,부적합률,19.04
0001,전체,0002,승용차,0002,경형,Y2024 2024,,0060,11~12년,M0010,검사대수,162856.0
0001,전체,0002,승용차,0002,경형,Y2024 2024,,0060,11~12년,M0011,부적합률,29.44
0001,전체,0002,승용차,0002,경형,Y2024 2024,,0070,13~14년,M0010,검사대수,144811.0
0001,전체,0002,승용차,0002,경형,Y2024 2024,,0070,13~14년,M0011,부적합률,34.86
0001,전체,0002,승용차,0002,경형,Y2024 2024,,0080,15년 이상,M0010,검사대수,130108.0
0001,전체,0002,승용차,0002,경형,Y2024 2024,,0080,15년 이상,M0011,부적합률,38.62
0001,전체,0002,승용차,0002,경형,Y2024 2024,,0090,기타,M0010,검사대수,0.0
0001,전체,0002,승용차,0002,경형,Y2024 2024,,0090,기타,M0011,부적합률,0.0
0001,전체,0002,승용차,0005,소형,Y2024 2024,,0010,합계,M0010,검사대수,51357.0
0001,전체,0002,승용차,0005,소형,Y2024 2024,,0010,합계,M0011,부적합률,32.7
0001,전체,0002,승용차,0005,소형,Y2024 2024,,0020,4년 이하,M0010,검사대수,363.0
0001,전체,0002,승용차,0005,소형,Y2024 2024,,0020,4년 이하,M0011,부적합률,17.08
0001,전체,0002,승용차,0005,소형,Y2024 2024,,0030,5~6년,M0010,검사대수,575.0
0001,전체,0002,승용차,0005,소형,Y2024 2024,,0030,5~6년,M0011,부적합률,20.0
0001,전체,0002,승용차,0005,소형,Y2024 2024,,0040,7~8년,M0010,검사대수,1025.0
0001,전체,0002,승용차,0005,소형,Y2024 2024,,0040,7~8년,M0011,부적합률,22.44
0001,전체,0002,승용차,0005,소형,Y2024 2024,,0050,9~10년,M0010,검사대수,1805.0
0001,전체,0002,승용차,0005,소형,Y2024 2024,,0050,9~10년,M0011,부적합률,20.06
0001,전체,0002,승용차,0005,소형,Y2024 2024,,0060,11~12년,M0010,검사대수,2735.0
0001,전체,0002,승용차,0005,소형,Y2024 2024,,0060,11~12년,M0011,부적합률,23.18
0001,전체,0002,승용차,0005,소형,Y2024 2024,,0070,13~14년,M0010,검사대수,6759.0
0001,전체,0002,승용차,0005,소형,Y2024 2024,,0070,13~14년,M0011,부적합률,31.72
0001,전체,0002,승용차,0005,소형,Y2024 2024,,0080,15년 이상,M0010,검사대수,38095.0
0001,전체,0002,승용차,0005,소형,Y2024 2024,,0080,15년 이상,M0011,부적합률,34.77
0001,전체,0002,승용차,0005,소형,Y2024 2024,,0090,기타,M0010,검사대수,0.0
0001,전체,0002,승용차,0005,소형,Y2024 2024,,0090,기타,M0011,부적합률,0.0
0001,전체,0002,승용차,0003,중형,Y2024 2024,,0010,합계,M0010,검사대수,5241593.0
0001,전체,0002,승용차,0003,중형,Y2024 2024,,0010,합계,M0011,부적합률,20.87
0001,전체,0002,승용차,0003,중형,Y2024 2024,,0020,4년 이하,M0010,검사대수,1223855.0
0001,전체,0002,승용차,0003,중형,Y2024 2024,,0020,4년 이하,M0011,부적합률,7.96
0001,전체,0002,승용차,0003,중형,Y2024 2024,,0030,5~6년,M0010,검사대수,412060.0
0001,전체,0002,승용차,0003,중형,Y2024 2024,,0030,5~6년,M0011,부적합률,10.62
0001,전체,0002,승용차,0003,중형,Y2024 2024,,0040,7~8년,M0010,검사대수,823667.0
0001,전체,0002,승용차,0003,중형,Y2024 2024,,0040,7~8년,M0011,부적합률,14.19
0001,전체,0002,승용차,0003,중형,Y2024 2024,,0050,9~10년,M0010,검사대수,755378.0
0001,전체,0002,승용차,0003,중형,Y2024 2024,,0050,9~10년,M0011,부적합률,21.96
0001,전체,0002,승용차,0003,중형,Y2024 2024,,0060,11~12년,M0010,검사대수,652600.0
0001,전체,0002,승용차,0003,중형,Y2024 2024,,0060,11~12년,M0011,부적합률,30.2
0001,전체,0002,승용차,0003,중형,Y2024 2024,,0070,13~14년,M0010,검사대수,570184.0
0001,전체,0002,승용차,0003,중형,Y2024 2024,,0070,13~14년,M0011,부적합률,33.52
0001,전체,0002,승용차,0003,중형,Y2024 2024,,0080,15년 이상,M0010,검사대수,803846.0
0001,전체,0002,승용차,0003,중형,Y2024 2024,,0080,15년 이상,M0011,부적합률,35.03
0001,전체,0002,승용차,0003,중형,Y2024 2024,,0090,기타,M0010,검사대수,3.0
0001,전체,0002,승용차,0003,중형,Y2024 2024,,0090,기타,M0011,부적합률,66.67
0001,전체,0002,승용차,0004,대형,Y2024 2024,,0010,합계,M0010,검사대수,2802755.0
0001,전체,0002,승용차,0004,대형,Y2024 2024,,0010,합계,M0011,부적합률,15.25
