brand,model,year,price_krw,mileage_km,fuel_type,transmission,body_type,displacement_cc,link
현대,기아 스포티지R 2.0 가솔린 2WD  LX,2011,7500000.0,103217,가솔린,자동,,1998166,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2257233&gubun=K
현대,기아 K5 2세대 2.0 SX 럭셔리,2015,6300000.0,45893,가솔린,자동,,1997168,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2256418&gubun=K
현대,기아 모하비 3.8 가솔린 2WD KV380 고급형,2009,7200000.0,179750,가솔린,자동,,3778274,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2256434&gubun=K
현대,기아 올 뉴 카니발 2.2 디젤 7인승 리무진  VIP,2018,13400000.0,168069,디젤,자동,,2199202,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2256504&gubun=K
현대,기아 모하비 3.0 디젤 4WD  JV300 에센스 패키지,2008,3900000.0,296811,디젤,자동,,2959250,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2256470&gubun=K
현대,기아 봉고3 CRDi 킹캡  초장축 GLX,2008,3800000.0,119816,디젤,수동,,2497,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2256466&gubun=K
현대,기아 뉴 오피러스 3.3 GH330 고급형,2007,1900000.0,153662,가솔린,자동,,3342247,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2256478&gubun=K
현대,기아 K5 3세대 1.6 터보  시그니처,2022,28800000.0,39997,가솔린,자동,,1598180,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2256527&gubun=K
현대,기아 셀토스 1.6 가솔린 터보 2WD  프레스티지,2022,21500000.0,35751,가솔린,자동,,1591177,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2256734&gubun=K
현대,기아 모하비 3.0 디젤 4WD  KV300,2012,6900000.0,263590,디젤,자동,,2959260,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2257109&gubun=K
현대,기아 올 뉴 카니발 3.3 가솔린 9인승  노블레스,2017,19700000.0,84874,가솔린,자동,,3342280,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2257163&gubun=K
현대,기아 더 뉴 쏘렌토 2.2 디젤 4WD  마스터,2018,21800000.0,98188,디젤,자동,,2199202,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2257165&gubun=K
현대,기아 디 올 뉴 스포티지 2.0 디젤 2WD  노블레스 그래비티,2021,27400000.0,65205,디젤,자동,,1998184,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2257170&gubun=K
현대,기아 더 뉴 기아 레이 1.0  프레스티지,2026,0.0,30,가솔린,자동,,99876,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2257297&gubun=K
현대,기아 올 뉴 모닝 1.0 디럭스,2017,7500000.0,38627,가솔린,자동,,998,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2256276&gubun=K
현대,기아 EV6 롱 레인지 2WD  에어,2021,0.0,113725,전기,자동,,111228,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2257295&gubun=K
