model_name,model_code,model_volume,maker_code,origin
A3,174,1,32,I
A4,175,0,32,I
A5,176,2,32,I
A6,177,10,32,I
A7,178,2,32,I
A8,179,12,32,I
S3,1136,0,32,I
S4,1137,0,32,I
S5,1139,0,32,I
S6,1140,0,32,I
S7,1138,1,32,I
S8,186,2,32,I
RS3,1132,1,32,I
RS4,1133,0,32,I
RS5,1135,0,32,I
RS6,1134,1,32,I
RS7,187,2,32,I
R8,185,3,32,I
Q2,944,0,32,I
Q3,180,0,32,I
Q5,181,1,32,I
Q7,182,2,32,I
Q8,976,2,32,I
SQ5,795,0,32,I
SQ7,1300,0,32,I
SQ8,1067,2,32,I
RS Q8,1035,1,32,I
TT,184,2,32,I
A6 e-트론,1321,0,32,I
S6 e-트론,1322,0,32,I
Q4 e-트론,1256,0,32,I
Q6 e-트론,1312,0,32,I
Q8 e-트론,1289,0,32,I
SQ6 e-트론,1313,0,32,I
SQ8 e-트론,1290,0,32,I
e-트론,1056,2,32,I
e-트론 GT,1116,0,32,I
RS e-트론 GT,1260,1,32,I
올로드콰트로,183,0,32,I
A2,1130,0,32,I
V8,1127,0,32,I
80,209,0,32,I
100,1129,0,32,I
골프,310,2,44,I
폴로,812,0,44,I
시로코,311,1,44,I
비틀,312,3,44,I
제타,319,0,44,I
파사트,313,0,44,I
CC,801,0,44,I
아테온,961,0,44,I
아틀라스,962,0,44,I
ID.4,1257,0,44,I
ID.5,1319,0,44,I
페이톤,314,1,44,I
티구안,315,0,44,I
투아렉,316,0,44,I
업!,894,0,44,I
이오스,317,0,44,I
루탄,1304,0,44,I
리알타,881,0,44,I
벤토,883,0,44,I
보라,884,0,44,I
카르만기아,886,0,44,I
코라도,887,0,44,I
티록,1071,0,44,I
마이크로버스,888,1,44,I
샤란,1141,0,44,I
그랜드 캘리포니아,1113,2,44,I
T3 (트랜스포터),1314,1,44,I
T4 (트랜스포터),1143,0,44,I
T5 (트랜스포터),1106,0,44,I
T6 (트랜스포터),1036,0,44,I
기타,1144,0,44,I
IS,200,1,13,I
ES,201,4,13,I
GS,202,1,13,I
LS,203,0,13,I
CT,208,0,13,I
LC,929,0,13,I
SC,204,0,13,I
RX,205,2,13,I
RZ,1273,0,13,I
GX,206,0,13,I
LM,1294,2,13,I
LX,207,2,13,I
NX,819,1,13,I
UX,968,0,13,I
RC,837,1,13,I
LFA,1089,0,13,I
HS,210,0,13,I
쿠퍼,320,4,97,I
컨버터블,1037,1,97,I
쿠페,321,0,97,I
로드스터,1038,0,97,I
클럽맨,322,3,97,I
컨트리맨,323,5,97,I
페이스맨,802,0,97,I
에이스맨,1311,0,97,I
원,324,0,97,I
E6,1303,0,1023,I
씨라이언 7,1328,0,1023,I
씰,1320,0,1023,I
아토 3,1302,0,1023,I
DS3,1250,0,1021,I
DS4,1251,0,1021,I
DS5,1253,0,1021,I
DS7,1252,0,1021,I
유콘,388,1,77,I
사바나,389,5,77,I
벤츄라,390,0,77,I
사파리,391,0,77,I
소노마,1039,0,77,I
시에라,1040,4,77,I
캐니언,392,1,77,I
터레인,1041,0,77,I
아카디아,1042,0,77,I
엔보이,1145,0,77,I
지미,394,0,77,I
허머,1286,14,77,I
GT-R,587,2,5,I
로그,739,0,5,I
리프,932,0,5,I
마치,585,0,5,I
맥시마,738,0,5,I
무라노,583,0,5,I
알티마,582,0,5,I
쥬크,813,0,5,I
캐시카이,835,0,5,I
큐브,581,0,5,I
티아나,737,0,5,I
패스파인더,751,0,5,I
프론티어,584,0,5,I
휘가로,589,1,5,I
180SX,1043,0,5,I
240SX,736,0,5,I
Z시리즈,586,2,5,I
스카이라인,588,0,5,I
NV밴,740,0,5,I
버사,741,0,5,I
스테이지아,796,0,5,I
시마,742,0,5,I
실비아,743,0,5,I
알마다,744,0,5,I
엑스테라,745,0,5,I
엑스트레일,963,0,5,I
엘그란드,746,1,5,I
윙로드,747,0,5,I
퀘스트,748,0,5,I
타이탄,749,0,5,I
파오,750,0,5,I
후가,752,0,5,I
글로리아,1147,0,5,I
로렐,1148,0,5,I
블루버드 실피,1149,0,5,I
세드릭,1150,0,5,I
세피로,1151,0,5,I
프레지던트,1152,0,5,I
코펜,395,1,6,I
미라,396,0,6,I
미라지노,938,0,6,I
마테리아,397,0,6,I
분,398,0,6,I
캐스트,892,0,6,I
탄토,843,0,6,I
웨이크,844,0,6,I
무브,1154,0,6,I
테리오스,1155,0,6,I
매그넘,400,0,7,I
차저,401,0,7,I
챌린저,402,5,7,I
바이퍼,403,0,7,I
캘리버,404,0,7,I
다코타,405,2,7,I
듀란고,406,0,7,I
램 픽업,407,20,7,I
니트로,408,0,7,I
캐러밴,409,0,7,I
램 밴,410,0,7,I
밴,411,0,7,I
스프린터,1045,0,7,I
네온,1212,0,7,I
스텔스,1213,0,7,I
어벤저,412,0,7,I
C31,1001,0,1014,I
C32,1002,0,1014,I
C35,1003,0,1014,I
리치,1272,0,1014,I
펜곤 ix5,1005,0,1014,I
데드라,616,0,10,I
델타,834,0,10,I
라이브라,617,0,10,I
카파,618,0,10,I
테마,619,0,10,I
테시스,620,0,10,I
기타,621,0,10,I
디스커버리,218,4,12,I
디스커버리 스포츠,924,5,12,I
디펜더,219,10,12,I
레인지로버,220,43,12,I
레인지로버 스포츠,925,9,12,I
레인지로버 벨라,926,4,12,I
레인지로버 이보크,923,2,12,I
프리랜더,221,0,12,I
기타,222,0,12,I
미니,413,1,14,I
MGF,848,0,14,I
75,1174,0,14,I
에메야,1305,0,15,I
에미라,1105,8,15,I
에보라,225,0,15,I
엑시지,223,1,15,I
엘리스,224,1,15,I
엘레트라,1306,0,15,I
유로파,226,0,15,I
에스프리,227,0,15,I
2-일레븐,228,0,15,I
340,229,0,15,I
라구나,622,0,61,I
메간,623,0,61,I
세닉,624,0,61,I
스포츠,903,0,61,I
클리오,625,0,61,I
트윙고,626,0,61,I
에스빠스,627,0,61,I
벨사티스,628,0,61,I
모뒤스,629,0,61,I
MKC,823,0,17,I
MKS,325,0,17,I
MKX,326,0,17,I
MKZ,327,0,17,I
MKT,328,0,17,I
LS,331,0,17,I
네비게이터,329,1,17,I
노틸러스,970,0,17,I
에비에이터,330,1,17,I
컨티넨탈,332,0,17,I
코세어,1052,0,17,I
타운카,333,1,17,I
57,991,2,1016,I
57s,992,2,1016,I
62,993,2,1016,I
62s,994,1,1016,I
그란투리스모,415,4,18,I
그란카브리오,416,0,18,I
그레칼레,1264,1,18,I
기블리,840,3,18,I
르반떼,913,2,18,I
콰트로포르테,417,9,18,I
스파이더,419,0,18,I
쿠페,418,0,18,I
MC12,420,0,18,I
MC20,1112,3,18,I
바이터보,841,1,18,I
GT2 스트라달레,1342,0,18,I
2 (데미오),703,0,19,I
3 (스피드 악셀라 ),704,0,19,I
5,705,0,19,I
6 (아텐자),706,0,19,I
AZ,566,0,19,I
CX,567,0,19,I
MX,568,2,19,I
RX,569,0,19,I
유노스,570,0,19,I
트리뷰트,708,0,19,I
MPV,709,0,19,I
프로시드,707,0,19,I
B-시리즈,1231,0,19,I
밀레니아,1232,0,19,I
540C,975,0,1003,I
570GT,931,0,1003,I
570S,878,7,1003,I
600LT,966,1,1003,I
650S,838,1,1003,I
675LT,902,0,1003,I
720S,936,5,1003,I
750S,1291,3,1003,I
765LT,1084,2,1003,I
GT,1009,3,1003,I
MP4-12C,785,0,1003,I
세나,1285,2,1003,I
아투라,1091,2,1003,I
그랜드마퀴스,631,0,60,I
마운티니어,633,0,60,I
몬테고,634,0,60,I
미스틱,635,0,60,I
빌리저,637,0,60,I
세이블,638,0,60,I
기타,639,0,60,I
플러스 4,1280,0,1022,I
플러스 8,1281,1,1022,I
플러스 6,1282,0,1022,I
랜서,529,0,20,I
랜서에볼루션,530,1,20,I
아웃랜더,531,0,20,I
파제로,698,0,20,I
RVR,699,0,20,I
이클립스,532,0,20,I
3000GT,700,0,20,I
FTO,701,0,20,I
GTO,702,0,20,I
갤랑,1214,0,20,I
디아망테,1215,0,20,I
아이,533,0,20,I
트라이톤,1216,0,20,I
가류,534,0,82,I
누에라,590,0,82,I
라세드,593,1,82,I
록스타,1325,1,82,I
레인보우,953,0,82,I
뷰트,592,0,82,I
오로치,803,0,82,I
히미코,804,0,82,I
MC-1,594,0,82,I
기타,535,0,82,I
C30,1095,0,23,I
C40,1217,0,23,I
C70,383,0,23,I
EX30,1284,0,23,I
EX40,1318,0,23,I
S40,1096,0,23,I
S60,1097,0,23,I
S70,1098,0,23,I
S80,1099,0,23,I
S90,384,0,23,I
V40,1100,1,23,I
V50,1101,0,23,I
V60,1102,0,23,I
V70,1103,0,23,I
V90,385,0,23,I
XC40,1092,0,23,I
XC60,1093,5,23,I
XC70,1094,0,23,I
XC90,386,3,23,I
240,387,0,23,I
740,1218,0,23,I
850,850,1,23,I
940,851,0,23,I
960,1175,0,23,I
FH,1176,0,23,I
FH16,1177,0,23,I
FM11,1178,0,23,I
FE,1179,0,23,I
FL,1180,0,23,I
CK,874,0,1009,I
켄보600,927,0,1009,I
베이론,283,1,88,I
시론,1055,0,88,I
르사블,640,0,24,I
리갈,641,0,24,I
리비에라,642,0,24,I
센츄리,643,0,24,I
스카이락,644,0,24,I
엔클라브,645,0,24,I
파크애비뉴,646,0,24,I
GT,290,0,99,I
로드스터,291,0,99,I
9-3,236,1,25,I
9-5,237,1,25,I
900,239,1,25,I
9000,240,0,25,I
두에고,1316,0,1025,I
뷰,422,0,94,I
스카이,423,0,94,I
아스트라,424,0,94,I
아웃룩,425,0,94,I
아우라,426,0,94,I
포투,985,2,1015,I
포포,986,0,1015,I
로드스터,987,0,1015,I
